word,delta_cos,neighbor_jaccard,change_score
কমপ্যাক্ট,1.1570657938718796,0.0,2.1570657938718796
অজন্ত,1.1200431808829308,0.0,2.1200431808829308
হ্্যা,1.0776124000549316,0.0,2.0776124000549316
বাকিট,1.0755696520209312,0.0,2.0755696520209312
রামচন্দ্র,1.0682782232761383,0.0,2.0682782232761383
দিনট,1.056601919233799,0.0,2.056601919233799
যাঁয়,1.0380159430205822,0.0,2.038015943020582
কাগজট,1.0311506353318691,0.0,2.031150635331869
ছোব,1.0267815496772528,0.0,2.0267815496772528
ব্যাখ্য,1.0197050962597132,0.0,2.019705096259713
শেষট,1.0069730752147734,0.0,2.0069730752147734
জীবনট,0.9917816640809178,0.0,1.9917816640809178
দফতরে,0.9873714968562126,0.0,1.9873714968562126
রক্ষিতা,0.9833857528865337,0.0,1.9833857528865337
হাহ,0.977700000628829,0.0,1.977700000628829
কষ্টসাধ্য,0.9716104958206415,0.0,1.9716104958206415
করাঘাত,0.9673856869339943,0.0,1.9673856869339943
বাসট,0.9623972438275814,0.0,1.9623972438275814
মিটতে,0.9623918868601322,0.0,1.9623918868601322
মানুষট,0.9590671919286251,0.0,1.959067191928625
নাইডু,0.9574886970221996,0.0,1.9574886970221996
ৰাড়ি,0.9486506693065166,0.0,1.9486506693065166
পাখিট,0.9443950206041336,0.0,1.9443950206041336
ওকথা,0.940289631485939,0.0,1.940289631485939
কতা,0.9390720352530479,0.0,1.939072035253048
অবোধ্য,0.9325084090232849,0.0,1.932508409023285
বাবে,0.9278727099299431,0.0,1.927872709929943
এগুলে,0.9256201982498169,0.0,1.925620198249817
কাস,0.8941129669547081,0.0,1.894112966954708
ট্রা,0.8768376260995865,0.0,1.8768376260995865
বাঙালির,0.8340581208467484,0.0,1.8340581208467484
ফকির,0.827239915728569,0.0,1.827239915728569
একদিনে,0.8258714377880096,0.0,1.8258714377880096
কাচে,0.8251208513975143,0.0,1.8251208513975143
বিশ্বনাথ,0.8163747638463974,0.0,1.8163747638463974
গুরু,0.8119826018810272,0.0,1.8119826018810272
দিকে,0.8117878288030624,0.0,1.8117878288030624
শেখর,0.8095126897096634,0.0,1.8095126897096634
টাউন,0.8078012764453888,0.0,1.8078012764453888
চৈতন্য,0.8067762851715088,0.0,1.8067762851715088
প্রশান্ত,0.8018391281366348,0.0,1.8018391281366348
আলি,0.800614982843399,0.0,1.800614982843399
অভ্যাস,0.7996730506420135,0.0,1.7996730506420135
পৌনে,0.7988151162862778,0.0,1.7988151162862778
এসেছিলো,0.7981484532356262,0.0,1.7981484532356262
বিলি,0.7974307388067245,0.0,1.7974307388067245
চাইলো,0.796609491109848,0.0,1.796609491109848
দোয়া,0.7941681146621704,0.0,1.7941681146621704
